index,url,Adgangskvotienter,Uddannelse,ledighed_nyudd,maanedloen_nyudd,ledighed_10aar,maanedloen_10aar
129,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/it-produktudvikling,0.0,It-produktudvikling - Aarhus Universitet,15.0,38200.0,,
130,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/agrobiologi,0.0,Agrobiologi - Aarhus Universitet,13.0,32000.0,,
131,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kemi,0.0,Kemi - Københavns Universitet,10.0,32000.0,2.0,52000.0
132,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kemi,0.0,Kemi - Syddansk Universitet,22.0,32300.0,0.0,50800.0
133,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kemi,0.0,Kemi - Aarhus Universitet,19.0,31800.0,,
134,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kemi,8.9,Kemi - Aalborg Universitet,17.0,33950.0,,
135,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/landskabsarkitektur,0.0,Landskabsarkitektur - Københavns Universitet,17.0,33900.0,2.0,
137,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik,0.0,Matematik - Københavns Universitet,5.0,38750.0,1.0,51500.0
138,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik,9.9,Matematik - Syddansk Universitet,0.0,33300.0,0.0,50500.0
139,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik,0.0,Matematik - Aarhus Universitet,5.0,35550.0,1.0,50500.0
